framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
254	19.804001	0.194000	12.685000	1.188000	35.721001	27.994736	310.306091	
255	30.509001	0.262000	11.691000	0.582000	44.306000	22.570307	206.996658	
256	26.584000	0.196000	12.540000	0.530000	42.525002	23.515577	225.921295	
257	30.518000	0.169000	5.096000	0.439000	38.493000	25.978750	196.798660	
258	31.079000	0.160000	9.965000	1.324000	45.179001	22.134176	196.111603	
259	22.007999	0.494000	13.028000	0.524000	38.611000	25.899355	268.544342	
260	20.882999	0.195000	12.678000	1.230000	37.710999	26.517464	291.028595	
261	28.957001	0.216000	11.617000	0.488000	43.691002	22.888008	209.115753	
262	28.289000	0.181000	11.887000	0.548000	42.624001	23.460960	216.461594	
263	24.757000	0.196000	12.591000	0.531000	39.393002	25.385220	255.179718	
264	23.237976	0.180000	12.636000	0.504000	39.041992	25.613447	264.036224	
265	30.485001	0.229000	11.662000	0.556000	44.448002	22.498199	205.174026	
266	27.493999	0.209000	12.849000	0.578000	43.014999	23.247705	224.582565	
267	23.444000	0.203000	12.578000	0.537000	38.773998	25.790480	257.561554	
268	24.004000	0.224000	12.605000	1.269000	40.192001	24.880573	259.142273	
269	21.771999	0.217000	12.651000	0.555000	38.558998	25.934284	272.039429	
270	30.407000	0.210000	12.214000	0.545000	45.182999	22.132219	204.706726	
271	27.448999	0.184000	11.928000	0.510000	42.327000	23.625582	222.297226	
272	24.662001	0.200000	12.688000	0.790000	40.311001	24.807123	253.269043	
273	21.677000	0.232000	12.600000	0.482000	36.067001	27.726175	287.491150	
274	30.805000	0.156000	11.522000	0.486000	46.042999	21.718828	192.105545	
275	27.122999	0.190000	11.247000	0.545000	41.962002	23.831083	219.252701	
276	22.327000	0.192000	12.535000	0.588000	38.554001	25.937645	265.048492	
277	20.443001	0.398000	10.828000	1.237000	34.910999	28.644268	297.764038	
278	21.983999	0.184000	12.671000	1.315000	40.028999	24.981888	274.676086	
279	29.274000	0.204000	10.954000	0.489000	43.438999	23.020788	207.351410	
280	32.932999	0.177000	10.711000	0.734000	46.876999	21.332424	185.709213	
281	30.393000	0.191000	11.001000	0.565000	43.542000	22.966331	209.687241	
282	31.735001	8.868000	8.069000	0.829000	44.217999	22.615225	185.599625	
283	42.275002	0.121000	5.889000	0.536000	50.611000	19.758551	146.633499	
