recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
37.174999	0.135000	0.264000	0.490000	39.428001	25.362686	224.006836
43.220001	0.206000	0.409000	0.536000	45.890999	21.790766	191.490128
40.242001	0.197000	0.386000	0.542000	43.390999	23.046255	203.928726
42.605999	0.115000	0.283000	0.682000	45.452999	22.000748	196.018417
44.093994	0.539000	0.208000	0.433000	45.916992	21.778431	191.757263
39.488998	0.187000	0.337000	0.482000	41.930000	23.849272	209.432465
36.238998	0.144000	0.337000	0.471000	38.893002	25.711567	229.303452
37.178001	0.137000	0.475000	0.502000	40.141998	24.911566	222.651245
43.719002	0.159000	0.407000	0.495000	46.757999	21.386715	188.898575
43.505001	0.205000	0.422000	0.839000	46.724998	21.401819	191.128006
34.952999	0.208000	0.382000	0.543000	37.604000	26.592916	236.318771
38.183998	0.156000	0.344000	0.500000	40.862999	24.472017	216.564026
43.811001	0.219000	0.388000	0.842000	47.390999	21.101053	187.992645
43.738998	0.246000	0.406000	0.544000	46.513000	21.499365	190.880112
44.897999	0.211000	0.382000	0.550000	47.400002	21.097046	185.761276
42.910000	0.171000	0.510000	0.555000	47.469002	21.066380	186.625015
41.901001	0.176000	0.397000	0.740000	45.342999	22.054121	197.965927
41.433998	0.256000	0.445000	0.549000	44.466999	22.488588	199.235428
51.957001	0.214000	0.433000	0.532000	54.667999	18.292236	160.112381
42.327999	0.213000	0.389000	0.557000	46.175999	21.656273	190.910507
43.539001	0.245000	0.387000	0.533000	46.171001	21.658617	191.673889
44.116001	0.210000	0.388000	0.517000	46.792000	21.371174	187.442368
43.758999	0.182000	0.430000	0.590000	46.674999	21.424746	188.881577
38.373001	0.145000	0.356000	0.490000	40.873001	24.466028	216.731888
45.048000	0.197000	0.387000	0.520000	47.542999	21.033590	184.559723
38.881001	0.139000	0.266000	0.461000	40.880001	24.461840	218.004837
37.481995	0.175000	0.397000	0.498000	40.278992	24.826838	220.747177
