framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
546	13.607000	0.193000	3.741000	1.563000	20.229000	49.433979	135.181519
547	13.335000	0.630000	4.799000	0.380000	21.809000	45.852631	130.307526
548	13.518000	0.196000	3.701000	2.593000	22.003000	45.448349	136.573792
549	12.846000	0.199000	3.747000	2.812000	20.788000	48.104675	147.020813
550	10.968000	2.913000	3.703000	4.046000	19.878000	50.306870	168.267303
551	13.849000	0.251000	3.704000	1.114000	22.011999	45.429768	121.856400
552	15.144000	0.195000	3.695000	1.031000	21.143999	47.294743	122.561340
553	18.004000	0.238000	2.831000	0.393000	24.514000	40.793015	94.761192
554	17.167999	0.496000	3.387000	0.298000	23.028999	43.423512	101.319267
555	15.378000	0.208000	3.681000	0.854000	22.483999	44.476074	111.783607
556	15.517000	4.237000	3.768000	0.392000	20.995001	47.630386	117.528542
557	19.033001	0.178000	3.144000	0.440000	24.285000	41.177681	94.160912
558	14.831000	0.236000	3.741000	0.654000	21.358000	46.820866	117.881821
559	14.037000	0.213000	3.698000	1.043000	21.455999	46.607010	123.365234
560	12.909000	0.484000	3.441000	0.305000	21.562000	46.377888	117.251900
561	22.943001	0.130000	1.688000	0.641000	27.669001	36.141529	76.640335
562	15.601000	0.160000	2.481000	0.499000	20.593000	48.560188	113.357933
563	18.841999	0.229000	3.168000	0.339000	25.326000	39.485115	90.198189
564	20.607000	0.132000	2.294000	0.320000	25.704000	38.904449	84.589256
565	16.587999	1.047000	3.710000	0.739000	22.514999	44.414837	110.166748
566	14.071000	0.177000	3.702000	0.298000	19.948000	50.130341	123.159157
567	14.363000	0.209000	3.749000	0.858000	20.208000	49.485352	131.020752
568	14.708000	0.204000	3.693000	1.068000	20.747000	48.199741	129.329224
569	11.706000	0.438000	5.684000	1.124000	22.042000	45.367935	146.658173
570	11.083000	0.453000	3.708000	3.427000	20.202999	49.497601	160.000000
571	12.645000	0.688000	7.409000	0.744000	22.083000	45.283703	149.295319
572	10.411000	0.250000	3.722000	4.246000	20.618000	48.501308	180.635040
573	9.783000	1.106000	3.666000	3.982000	19.865999	50.337261	166.203781
574	12.091000	0.197000	3.696000	2.281000	19.990999	50.022511	148.405792
575	11.062000	0.183000	3.699000	2.575000	21.315001	46.915318	141.306351
576	10.567000	0.489000	3.750000	1.705000	20.052999	49.867851	142.024963
577	13.995972	0.192000	3.698000	0.892000	20.757019	48.176476	125.721207
578	12.881000	0.193000	3.733000	2.099000	20.813999	48.044586	136.049591
579	12.701000	0.218000	3.708000	1.857000	21.200001	47.169811	129.274796
580	13.738000	0.302000	3.667000	1.727000	21.584999	46.328472	125.413353
581	11.931000	0.180000	3.692000	1.963000	20.947001	47.739532	131.864365
582	11.622000	0.203000	3.757000	4.438000	21.091999	47.411343	163.071747
583	9.932000	1.023000	3.690000	3.810000	20.122999	49.694382	162.711868
584	19.382999	0.166000	2.581000	0.380000	23.759001	42.089314	95.039703
585	15.698000	2.879000	3.502000	0.542000	22.077999	45.293961	110.477104
586	19.462999	0.148000	2.551000	0.314000	24.587999	40.670246	91.256554
587	21.917999	0.138000	2.471000	0.341000	25.969999	38.505970	83.736145
588	20.597000	0.175000	2.428000	0.333000	25.117001	39.813671	87.876038
589	21.051001	0.208000	2.501000	0.516000	25.509001	39.201851	87.964111
590	18.742001	0.434000	2.536000	0.340000	23.271000	42.971939	97.844780
591	21.865999	0.202000	2.590000	0.616000	26.934999	37.126415	82.959763
592	15.771000	0.193000	3.429000	0.350000	21.570999	46.358540	112.637489
593	15.186000	0.176000	3.643000	0.414000	21.618000	46.257748	113.798851
594	18.593000	0.161000	2.635000	0.320000	23.454000	42.636650	96.195404
595	16.393000	0.172000	3.710000	0.349000	22.295000	44.853107	110.015518
596	26.958000	0.158000	2.303000	0.322000	32.174999	31.080032	65.563972
597	29.959000	0.142000	2.228000	0.336000	33.839001	29.551701	61.649605
598	18.403000	0.238000	3.287000	0.336000	23.676001	42.236862	99.832100
599	19.947001	0.457000	2.906000	0.324000	24.157000	41.395870	93.720444
600	29.445000	0.149000	2.230000	0.560000	34.375999	29.090063	61.010891
601	19.686001	0.168000	2.809000	0.326000	24.113001	41.471405	94.180168
602	18.209999	0.434000	3.365000	0.308000	23.223000	43.060760	101.766785
603	15.184000	1.355000	3.718000	0.338000	20.250000	49.382717	123.514030
604	14.686000	0.712000	3.696000	1.080000	21.247000	47.065468	126.863510
605	13.372000	0.199000	3.777000	0.308000	19.992001	50.020008	131.836060
606	14.329000	0.246000	3.703000	1.314000	21.865000	45.735195	131.375626
607	13.973000	1.297000	6.743000	0.346000	22.773001	43.911648	130.418167
608	11.105000	0.203000	3.782000	1.505000	19.330000	51.733059	149.902405
609	12.521000	0.208000	3.715000	0.343000	18.996000	52.642662	132.176407
610	14.367000	0.466000	3.667000	0.689000	20.016001	49.960030	130.004227
611	14.487000	0.669000	7.424000	1.212000	24.801001	40.320953	124.709068
612	9.965000	0.175000	3.685000	3.660000	18.417000	54.297661	186.275879
613	9.919000	0.182000	3.709000	2.502000	18.502001	54.048210	168.313385
614	12.914000	0.330000	7.420000	0.853000	23.292999	42.931355	137.183685
615	10.614000	0.406000	7.463000	1.195000	22.023001	45.407074	168.853058
616	9.339000	0.203000	3.704000	2.412000	20.736000	48.225307	160.361923
617	12.011000	0.404000	3.730000	0.818000	20.879000	47.895016	131.067337
618	12.465000	0.239000	3.549000	0.321000	19.937000	50.157997	129.147980
619	14.179000	0.176000	3.559998	0.367000	20.905029	47.835381	118.040344
620	14.071000	0.480000	3.256000	0.340000	21.323000	46.897717	113.225632
621	14.031000	0.573000	3.458000	0.307000	21.079000	47.440578	116.143669
622	14.762000	0.199000	3.559000	0.308000	20.806000	48.063061	118.328308
623	16.098000	0.199000	3.256000	0.343000	21.166000	47.245583	114.484467
624	14.680000	1.478000	3.731000	0.434000	20.208000	49.485352	123.630020
625	14.757000	0.190000	2.792000	0.370000	22.448000	44.547398	102.417068
626	15.871000	0.177000	3.424000	0.333000	20.849001	47.963928	115.106476
627	14.671000	0.226000	3.030000	0.315000	21.568001	46.364983	108.277031
628	12.679000	0.206000	3.768000	0.692000	22.187000	45.071438	112.260178
