framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
178	19.546000	0.194000	3.635000	0.372000	25.393999	39.379383	92.390976	
179	19.141001	0.176000	3.703000	1.812000	26.415001	37.857277	92.968826	
180	17.621000	0.190000	3.152000	0.306000	23.153000	43.190948	98.105171	
181	20.813999	0.188000	4.367000	0.422000	26.771000	37.353851	87.863472	
182	16.933001	0.213000	3.724000	0.604000	22.778999	43.900085	108.404396	
183	18.500999	0.222000	4.097000	0.635000	25.304001	39.519444	96.215485	
184	15.084000	0.210000	3.990000	0.432000	20.850000	47.961628	122.814491	
185	16.354000	0.188000	3.690000	0.367000	22.299000	44.845062	107.206413	
186	16.719999	4.335000	4.432000	0.383000	24.204000	41.315483	101.481033	
187	19.923000	0.192000	3.513977	0.359000	26.051025	38.386204	87.867661	
188	18.184999	0.522000	4.206000	0.382000	24.289000	41.170902	103.971115	
189	17.270000	0.190000	3.702000	0.368000	23.372000	42.786240	100.572922	
190	17.350000	0.301000	4.551000	0.408000	23.599001	42.374676	104.894142	
191	15.758000	4.211000	3.736000	0.399000	21.993000	45.469013	112.267029	
192	23.408001	0.200000	3.247000	0.380000	28.736000	34.799553	77.328407	
193	21.266001	0.183000	3.001000	0.363000	26.788000	37.330147	83.698120	
194	17.379000	0.254000	3.716000	0.364000	22.738001	43.979240	106.211823	
195	17.174000	0.188000	3.687000	0.474000	23.295000	42.927666	102.343140	
196	17.124001	0.220000	3.708000	0.410000	23.790001	42.034466	101.191322	
197	19.108000	0.188000	3.745000	0.335000	24.532000	40.763084	95.591743	
198	19.493000	0.234000	3.749000	0.613000	25.099001	39.842224	95.760597	
199	19.768000	0.196000	3.697000	0.479000	25.124001	39.802578	94.498848	
200	19.549999	0.193000	3.729000	0.373000	24.882999	40.188080	95.074020	
201	20.382000	0.197000	3.633000	0.327000	25.486000	39.237228	91.769981	
202	18.933001	0.185000	3.721000	0.385000	24.992001	40.012802	94.892921	
203	19.688000	0.209000	3.671000	0.434000	25.042999	39.931320	93.658531	
204	18.437000	0.182000	3.700000	0.353000	23.638000	42.304764	99.123428	
205	18.900000	0.171000	3.707000	0.362000	23.980000	41.701420	97.317848	
206	19.070999	0.171000	3.689000	0.350000	24.202000	41.318901	96.105103	
207	20.082001	0.194000	3.741000	0.402000	25.482000	39.243385	93.194458	
208	17.570999	0.217000	3.710000	0.373000	24.819000	40.291710	94.368217	
209	18.472000	0.217000	3.722000	0.373000	23.771999	42.066299	99.075470	
210	18.285000	0.208000	3.718000	0.396000	24.093000	41.505833	98.324974	
211	19.170000	0.197000	3.719000	0.346000	24.237000	41.259232	96.659492	
212	18.146000	0.223000	3.738000	0.366000	25.044001	39.929722	95.083824	
213	19.316999	0.191000	3.578000	0.349000	25.558001	39.126690	90.406120	
214	17.235001	0.183000	3.724000	0.703000	24.386000	41.007137	99.283592	
215	20.167999	0.232000	3.556000	0.392000	25.738001	38.853058	89.793930	
216	17.033001	0.193000	3.729000	0.521000	24.563000	40.711639	97.092293	
217	21.063000	0.219000	3.403000	0.351000	26.073999	38.352383	88.381683	
218	19.973000	0.203000	3.466000	0.328000	26.091000	38.327393	88.060768	
219	20.145000	0.196000	3.740000	0.432000	25.461000	39.275753	92.720963	
220	19.315001	0.202000	3.670000	0.261000	25.268999	39.574184	92.118546	
221	18.815001	0.178000	3.711000	0.354000	24.990999	40.014408	93.307686	
