framenum	drawtime	copytime
774	4.337000	0.753000
775	4.254000	0.983000
776	5.123000	0.804000
777	4.151000	0.947000
778	4.363000	1.025000
779	4.867000	1.189000
780	4.031000	0.801000
781	4.298000	0.860000
782	4.757000	0.858000
783	4.548000	0.994000
784	4.714000	0.797000
785	5.044983	1.231000
786	5.181000	0.821000
787	4.972000	0.932000
788	4.968000	0.822000
789	5.328000	0.954000
790	5.734000	0.875000
791	5.433000	0.678000
792	5.101000	0.682000
793	5.515000	0.505000
794	5.427000	0.845000
795	4.494000	0.798000
796	4.149000	0.818000
797	4.066000	0.935000
798	3.864000	0.806000
799	3.860000	0.916000
800	3.718000	0.838000
801	4.491000	0.878000
802	3.648000	0.946000
803	4.288000	0.931000
804	3.483000	0.782000
805	4.164000	0.799000
806	3.689000	0.912000
807	3.355000	0.800000
808	3.270000	0.805000
809	3.590000	1.166000
810	3.242000	0.735000
811	2.907000	0.850000
812	2.774000	0.875000
813	3.258000	1.258000
814	3.502000	0.882000
815	2.691000	0.812000
816	2.847000	0.741000
817	2.870000	1.056000
818	2.851000	0.918000
819	3.075000	0.969000
820	2.891000	0.915000
821	2.714000	0.779000
822	2.802000	0.699000
823	2.779000	0.793000
824	2.785000	0.949000
825	3.132000	0.762000
826	2.631000	0.940000
827	2.750000	0.790000
828	3.024000	1.000000
829	3.054000	0.808000
830	3.328000	0.878000
831	4.102000	1.163000
832	4.823000	1.105000
833	5.718000	0.862000
834	3.966000	0.794000
835	4.069000	0.937000
836	4.132000	0.816000
837	4.251000	0.834000
838	4.020000	0.841000
839	3.924000	0.772000
840	4.730000	1.057000
841	3.915000	0.807000
842	4.170000	0.978000
843	4.836000	1.268000
844	4.784000	0.878000
845	3.958000	0.843000
846	4.414000	0.854000
847	4.551000	0.857000
848	4.951000	0.996000
849	5.394000	1.173000
850	6.039000	0.872000
851	6.381000	0.854000
852	6.193000	0.931000
853	6.099000	1.347000
854	7.432000	0.707000
855	7.096000	0.818000
856	6.409000	0.792000
857	6.787000	0.897000
858	6.427000	0.945000
859	6.471000	0.934000
860	6.632996	0.816000
861	6.676000	0.708000
862	7.290000	0.835000
863	7.507000	0.844000
864	6.806000	1.075000
865	6.383000	0.922000
866	6.348000	0.830000
867	6.371000	0.956000
868	7.010000	1.004000
869	6.194000	0.953000
870	5.857000	0.927000
871	5.983000	0.972000
872	6.249000	1.211000
873	5.293000	1.008000
874	5.419000	0.991000
875	6.341000	0.924000
876	5.357000	0.962000
877	5.431000	0.965000
878	6.445000	0.879000
879	5.794000	1.588000
880	6.045000	0.927000
881	6.273000	1.012000
882	6.686000	0.927000
883	6.205000	0.824000
884	6.258000	0.967000
885	6.773000	0.874000
886	6.846000	0.820000
887	6.147000	0.905000
888	6.326000	0.937000
889	6.480000	0.815000
890	6.447000	0.975000
891	6.331000	0.810000
892	6.597000	0.927000
893	7.358000	1.068000
894	6.339000	0.926000
895	6.188000	0.835000
896	6.517000	0.985000
897	6.334000	0.824000
898	6.221000	1.004000
899	7.109000	1.004000
900	6.848000	0.992000
901	6.512000	0.940000
902	6.770000	1.076000
903	7.245000	0.972000
904	7.006000	0.990000
905	6.775000	0.884000
906	6.850000	0.986000
907	6.545000	0.966000
908	6.582000	0.943000
909	6.849000	0.928000
910	7.889000	0.989000
911	6.567000	1.323000
912	6.558000	0.971000
913	8.013000	0.886000
914	7.483000	0.951000
915	6.746000	0.992000
916	6.988000	0.887000
917	7.864000	0.924000
918	7.333000	0.900000
919	6.673000	0.963000
920	6.927000	0.986000
921	6.540000	1.012000
922	6.612000	0.966000
923	6.248000	0.971000
924	6.856000	1.017000
925	6.263000	0.903000
926	6.736000	0.988000
927	6.444000	0.987000
928	7.000000	0.985000
929	6.378000	0.933000
930	6.585000	0.781000
931	6.251000	0.946000
932	7.232000	0.852000
933	6.486000	1.117000
934	6.359000	0.778000
935	6.430000	0.636000
936	6.532000	0.900000
937	6.897000	0.923000
938	6.407000	0.903000
939	6.629000	0.942000
940	6.604000	0.966000
941	6.384000	1.014000
942	7.186000	0.906000
943	6.917000	0.941000
944	6.883000	0.831000
945	6.847000	0.853000
946	7.410000	0.943000
947	6.675000	0.799000
948	6.788000	0.800000
949	6.831000	0.811000
950	7.595000	0.923000
951	6.783000	1.781000
952	6.697000	0.809000
953	6.713000	0.842000
954	7.903000	0.786000
955	7.526000	0.977000
956	6.673000	0.831000
957	6.979000	1.096000
958	7.317000	1.377000
959	6.644000	0.834000
960	7.128000	0.867000
961	6.660000	0.810000
962	6.708000	0.888000
963	6.705000	0.886000
964	6.962000	0.852000
965	6.943000	1.026000
966	7.240000	0.962000
967	6.962000	1.005000
968	6.527000	0.912000
969	6.668000	0.789000
970	6.390000	0.937000
971	7.537000	1.071000
972	6.493000	1.508000
973	6.487000	0.815000
974	6.869000	0.895000
975	7.180000	0.834000
976	6.516000	1.031000
977	6.565000	0.815000
978	7.851000	1.080000
979	7.406000	0.772000
980	6.517000	0.827000
981	6.837000	0.940000
982	6.999000	0.889000
983	7.171000	1.008000
984	6.897000	0.946000
985	6.629000	0.824000
986	6.584000	0.822000
987	7.310000	0.822000
988	6.624000	0.914000
989	6.593000	0.794000
990	6.578000	0.800000
991	7.524000	0.965000
992	7.187000	0.911000
993	6.574000	0.824000
994	6.383000	0.810000
995	7.179000	1.516000
996	7.287000	0.964000
997	6.415000	0.826000
998	6.646000	0.912000
999	6.978000	0.959000
