framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
239	15.476000	1.400000	3.732000	0.584000	22.583000	44.281097	115.488716	
240	17.535999	0.227000	3.744000	0.423000	24.818001	40.293335	99.267548	
241	14.576000	0.224000	3.723000	1.157000	22.368000	44.706722	123.076927	
242	14.485000	4.218000	3.717000	0.401000	21.627001	46.238495	115.084908	
243	18.315001	1.086000	6.548000	0.520000	27.891001	35.853859	97.995636	
244	13.595000	0.235000	3.718000	0.371000	19.004999	52.617733	134.050903	
245	16.066000	0.192000	3.816000	1.128000	24.374001	41.027325	106.291451	
246	15.785000	0.365000	3.717000	0.381000	21.563000	46.375736	116.194923	
247	17.382999	0.706000	6.630000	0.494000	27.069000	36.942627	102.348816	
248	13.556000	0.169000	3.698000	0.366000	18.617001	53.714344	137.634399	
249	16.296000	0.208000	3.711000	0.637000	23.709000	42.178078	104.679688	
250	15.631000	0.704000	6.035000	0.455000	26.709999	37.439163	101.008331	
251	11.931000	0.186000	3.711000	0.380000	18.841999	53.072926	138.233093	
252	16.792000	0.245000	3.677000	0.390000	23.160000	43.177895	104.235695	
253	15.322000	0.219000	3.780000	1.821000	22.504999	44.434570	119.867332	
254	12.404000	4.477000	3.689000	0.693000	21.673000	46.140358	117.995003	
255	17.833000	0.655000	5.571000	0.437000	27.761000	36.021759	91.202377	
256	12.851000	0.588000	3.521000	0.582000	20.360001	49.115913	121.743721	
257	16.191000	0.186000	3.757000	1.165000	23.462999	42.620296	107.720177	
258	14.292000	0.295000	3.715000	1.247000	20.631001	48.470745	131.263351	
259	13.810000	1.579000	7.415000	0.565000	24.284000	41.179379	126.489159	
260	11.618000	0.479000	3.712000	1.047000	19.013000	52.595592	151.491730	
261	15.547000	0.268000	3.854000	0.525000	21.114000	47.361938	120.730980	
262	11.144000	0.701000	7.485000	0.741000	23.062000	43.361374	149.622528	
263	9.758000	0.472000	3.747000	0.553000	15.546000	64.325233	192.481201	
264	14.242000	0.202000	3.735000	0.395000	19.500000	51.282051	132.318726	
